feature_a,feature_b,spearman_rho,mz_a,mz_b,rt_a,rt_b,mz_diff,rt_diff,candidate_isomer,candidate_isotope_or_adduct,high_corr_near_duplicate,high_corr_other,relation_type
FT-060,FT-072,0.5693506493506494,1251.815294797806,1252.819559504331,1252.0156980757831,1252.123154423304,1.004264706524964,0.10745634752083788,False,True,False,False,candidate_isotope_or_adduct
FT-060,FT-061,0.4191660970608339,1251.815294797806,1251.8151979857469,1252.0156980757831,1273.952845715492,9.681205915512692e-05,21.937147639708883,True,False,False,False,candidate_isomer
FT-060,FT-059,-0.31835953520164045,1251.815294797806,1223.7919594716086,1252.0156980757831,1257.9046668683316,28.02333532619741,5.8889687925484395,False,True,False,False,candidate_isotope_or_adduct
FT-060,FT-104,-0.3778263841421736,1251.815294797806,1222.2864765177096,1252.0156980757831,1258.1864030459938,29.528818280096402,6.170704970210636,False,True,False,False,candidate_isotope_or_adduct
FT-060,FT-140,-0.2965686944634313,1251.815294797806,1223.2883799925703,1252.0156980757831,1257.8617538028573,28.52691480523572,5.846055727074145,False,True,False,False,candidate_isotope_or_adduct
FT-060,FT-100,-0.28828434723171564,1251.815294797806,1222.7890111601405,1252.0156980757831,1257.9887283196858,29.02628363766553,5.973030243902713,False,True,False,False,candidate_isotope_or_adduct
FT-060,FT-086,0.5095557074504443,1251.815294797806,1252.3224421698592,1252.0156980757831,1252.0492024447103,0.5071473720531685,0.03350436892719699,False,True,False,False,candidate_isotope_or_adduct
FT-060,FT-091,0.591825017088175,1251.815294797806,1251.314808260303,1252.0156980757831,1251.9082930023933,0.5004865375030931,0.10740507338982752,False,True,False,False,candidate_isotope_or_adduct
FT-060,FT-084,-0.3146138072453862,1251.815294797806,1224.2978759761004,1252.0156980757831,1257.7376008872648,27.517418821705633,5.721902811481641,False,True,False,False,candidate_isotope_or_adduct
FT-069,FT-066,0.5172385509227615,1150.7568385346326,1150.2523051364865,1199.4452906242605,1199.6136168612857,0.5045333981461226,0.16832623702521232,False,True,False,False,candidate_isotope_or_adduct
FT-069,FT-063,0.47562542720437456,1150.7568385346326,1149.7527620467906,1199.4452906242605,1199.627733531914,1.004076487841985,0.18244290765346705,False,True,False,False,candidate_isotope_or_adduct
FT-069,FT-070,0.16237867395762132,1150.7568385346326,1150.753810446541,1199.4452906242605,1245.2881515322938,0.0030280880916961905,45.842860908033344,True,False,False,False,candidate_isomer
FT-069,FT-071,0.17274094326725906,1150.7568385346326,1150.7515985354444,1199.4452906242605,1279.6007579597722,0.005239999188233924,80.15546733551173,True,False,False,False,candidate_isomer
FT-095,FT-103,0.6861517429938483,1296.8385481999308,1295.3340005034854,1325.9004245551305,1325.9263584717098,1.5045476964453428,0.025933916579333527,False,True,False,False,candidate_isotope_or_adduct
FT-095,FT-234,0.5430485304169514,1296.8385481999308,1297.3438707330265,1325.9004245551305,1326.1469761141468,0.5053225330957503,0.24655155901632497,False,True,False,False,candidate_isotope_or_adduct
FT-095,FT-113,0.7694326725905674,1296.8385481999308,1295.8340568472142,1325.9004245551305,1325.935889442976,1.0044913527165136,0.035464887845591875,False,True,False,False,candidate_isotope_or_adduct
FT-095,FT-099,0.7589336978810663,1296.8385481999308,1296.3371434985418,1325.9004245551305,1325.9803275270754,0.5014047013889922,0.07990297194487539,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-049,-0.13487354750512645,1077.7143327045933,1097.2225774589213,1186.9637374633428,1176.9292956095635,19.50824475432796,10.034441853779299,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-055,0.269254955570745,1077.7143327045933,1105.7327676680493,1186.9637374633428,1180.3586166880116,28.018434963456002,6.6051207753312156,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-195,0.13014354066985645,1077.7143327045933,1077.708774786632,1186.9637374633428,1164.8240522057135,0.00555791796136873,22.139685257629253,True,False,False,False,candidate_isomer
FT-225,FT-077,0.24981544771018455,1077.7143327045933,1077.705946239623,1186.9637374633428,1212.451251396288,0.008386464970271845,25.48751393294515,True,False,False,False,candidate_isomer
FT-225,FT-193,0.39967190704032807,1077.7143327045933,1068.7043278235449,1186.9637374633428,1173.5611587867572,9.010004881048417,13.402578676585563,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-194,0.23565276828434722,1077.7143327045933,1106.736189796707,1186.9637374633428,1180.3607794138811,29.021857092113805,6.602958049461677,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-053,-0.15764866712235134,1077.7143327045933,1097.723992703951,1186.9637374633428,1176.67239430599,20.00965999935761,10.291343157352685,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-220,-0.13194805194805195,1077.7143327045933,1098.2292261588002,1186.9637374633428,1176.4712324222012,20.514893454206913,10.492505041141612,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-052,0.4383868762816131,1077.7143327045933,1069.2070748658969,1186.9637374633428,1173.5811959662594,8.507257838696432,13.382541497083366,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-054,0.358796992481203,1077.7143327045933,1106.2349666883931,1186.9637374633428,1180.403233758563,28.520633983799826,6.560503704779876,False,True,False,False,candidate_isotope_or_adduct
FT-225,FT-250,0.33561175666438825,1077.7143327045933,1069.708344315076,1186.9637374633428,1173.681223284433,8.00598838951737,13.282514178909878,False,True,False,False,candidate_isotope_or_adduct
FT-066,FT-068,0.29326042378673955,1150.2523051364865,1150.2524730526775,1199.6136168612857,1279.7884240559065,0.00016791619100331445,80.17480719462083,True,False,False,False,candidate_isomer
FT-066,FT-067,0.022200956937799044,1150.2523051364865,1150.251969729645,1199.6136168612857,1245.3086840060384,0.00033540684148647415,45.695067144752784,True,False,False,False,candidate_isomer
FT-159,FT-169,0.10859876965140124,1343.8406591266526,1335.3236370967948,1551.4018781172863,1551.257112257207,8.517022029857799,0.1447658600793602,False,True,False,False,candidate_isotope_or_adduct
FT-159,FT-170,0.15395762132604238,1343.8406591266526,1335.8228921318928,1551.4018781172863,1551.4213307481,8.017766994759768,0.019452630813702854,False,True,False,False,candidate_isotope_or_adduct
FT-159,FT-163,0.18411483253588518,1343.8406591266526,1337.3318321701493,1551.4018781172863,1551.0732220065731,6.508826956503299,0.3286561107131547,False,True,False,False,candidate_isotope_or_adduct
FT-159,FT-166,0.08981544771018456,1343.8406591266526,1336.829587591733,1551.4018781172863,1551.163342823527,7.011071534919665,0.23853529375924154,False,True,False,False,candidate_isotope_or_adduct
FT-206,FT-200,0.1546138072453862,1034.6560763743712,1039.6606356714726,1386.0386461317642,1386.5689310879638,5.004559297101423,0.5302849561996936,False,True,False,False,candidate_isotope_or_adduct
FT-206,FT-207,-0.012549555707450444,1034.6560763743712,1034.6551417461487,1386.0386461317642,1455.50905041845,0.0009346282224669267,69.47040428668583,True,False,False,False,candidate_isomer
FT-206,FT-212,0.7867669172932331,1034.6560763743712,1034.6524894655838,1386.0386461317642,1419.5355960078075,0.003586908787383436,33.496949876043345,True,False,False,False,candidate_isomer
FT-043,FT-046,0.9617498291182501,1005.172041771252,1004.1671268211272,1156.3855354906916,1156.358765017695,1.0049149501247712,0.02677047299653168,False,True,False,True,candidate_isotope_or_adduct_correlated
FT-043,FT-050,0.9641558441558442,1005.172041771252,1004.669623849698,1156.3855354906916,1156.3925786840523,0.5024179215539561,0.007043193360686928,False,True,False,True,candidate_isotope_or_adduct_correlated
FT-043,FT-221,0.9493643198906356,1005.172041771252,1005.6756059707232,1156.3855354906916,1156.2008704897985,0.5035641994711568,0.1846650008931192,False,True,False,False,candidate_isotope_or_adduct
FT-043,FT-230,0.02961038961038961,1005.172041771252,975.6477809466752,1156.3855354906916,1174.6013930519584,29.5242608245768,18.21585756126683,False,True,False,False,candidate_isotope_or_adduct
FT-043,FT-191,0.6513738892686262,1005.172041771252,996.1601236401428,1156.3855354906916,1136.386402786609,9.011918131109155,19.999132704082513,False,True,False,False,candidate_isotope_or_adduct
FT-043,FT-048,0.6108270676691729,1005.172041771252,995.6559728029966,1156.3855354906916,1136.486651444235,9.516068968255354,19.898884046456715,False,True,False,False,candidate_isotope_or_adduct
FT-038,FT-182,0.5362132604237867,1025.690862799387,1026.1932694786867,1107.23462155222,1095.4661545958722,0.5024066792996109,11.768466956347766,False,True,False,False,candidate_isotope_or_adduct
FT-038,FT-039,0.5470676691729324,1025.690862799387,1024.6867091528734,1107.23462155222,1095.258554693031,1.0041536465137142,11.976066859188904,False,True,False,False,candidate_isotope_or_adduct
FT-038,FT-041,0.5234996582365004,1025.690862799387,1025.1883020825835,1107.23462155222,1095.323555128769,0.5025607168036004,11.911066423451075,False,True,False,False,candidate_isotope_or_adduct
FT-038,FT-037,0.5558988380041011,1025.690862799387,1025.6898265569414,1107.23462155222,1095.46453629439,0.0010362424457071029,11.770085257830033,True,False,False,False,candidate_isomer
FT-038,FT-042,0.6403827751196173,1025.690862799387,1025.1886386302892,1107.23462155222,1107.3546178711229,0.5022241690978717,0.11999631890284945,False,True,False,False,candidate_isotope_or_adduct
FT-115,FT-068,0.847136021872864,1151.2577144686827,1150.2524730526775,1279.5426959634483,1279.7884240559065,1.0052414160052194,0.24572809245819371,False,True,False,False,candidate_isotope_or_adduct
FT-115,FT-065,0.8560765550239234,1151.2577144686827,1149.7477835102598,1279.5426959634483,1279.935188473766,1.5099309584229559,0.392492510317652,False,True,False,False,candidate_isotope_or_adduct
FT-115,FT-071,0.8514559125085441,1151.2577144686827,1150.7515985354444,1279.5426959634483,1279.6007579597722,0.506115933238334,0.05806199632388598,False,True,False,False,candidate_isotope_or_adduct
FT-115,FT-114,-0.7460833902939166,1151.2577144686827,1151.256806499619,1279.5426959634483,1245.2813146104488,0.00090796906374635,34.26138135299948,True,False,False,False,candidate_isomer
FT-158,FT-161,0.9352016404647984,1256.286883804324,1255.783773964013,1499.1705919535325,1499.2176641397284,0.503109840310799,0.04707218619591913,False,True,False,False,candidate_isotope_or_adduct
FT-158,FT-155,0.22288448393711552,1256.286883804324,1266.2831822007336,1499.1705919535325,1499.1248349190344,9.996298396409657,0.04575703449813773,False,True,False,False,candidate_isotope_or_adduct
FT-158,FT-162,0.9396582365003417,1256.286883804324,1254.277029107562,1499.1705919535325,1499.404825285124,2.009854696761977,0.23423333159144022,False,True,False,False,candidate_isotope_or_adduct
FT-158,FT-160,0.9326315789473684,1256.286883804324,1254.7781749513174,1499.1705919535325,1499.4061441213764,1.5087088530065103,0.2355521678439345,False,True,False,False,candidate_isotope_or_adduct
FT-158,FT-165,0.942118933697881,1256.286883804324,1255.2798171824015,1499.1705919535325,1499.3447722912745,1.0070666219223767,0.17418033774197283,False,True,False,False,candidate_isotope_or_adduct
FT-158,FT-149,-0.14600136705399863,1256.286883804324,1264.301168475248,1499.1705919535325,1498.8110275470938,8.014284670924098,0.35956440643872156,False,True,False,False,candidate_isotope_or_adduct
FT-158,FT-157,-0.0674231032125769,1256.286883804324,1263.2947685123595,1499.1705919535325,1498.9586431862058,7.00788470803559,0.2119487673267031,False,True,False,False,candidate_isotope_or_adduct
