sample,class,order,batch,total_signal_raw,log10_total_signal_plus1,detected_features,detection_rate,zero_fraction,corr_to_class_median,PC1,PC2,PC3,PC4,PC5,pca_distance_to_class_centroid,log10_total_signal_plus1_robust_z_within_class,detected_features_robust_z_within_class,zero_fraction_robust_z_within_class,corr_to_class_median_robust_z_within_class,pca_distance_to_class_centroid_robust_z_within_class,flag_low_total_signal,flag_low_detected_features,flag_high_zero_fraction,flag_low_corr_to_class_median,flag_high_pca_distance,n_review_flags,recommend_exclude,review_tier
20241106-297-LMU-12,LMU,44,1,773701.9418742921,5.888574248191893,248,0.9841269841269841,0.015873015873015928,0.9831601317225283,-11.212008553263244,8.123315002180288,-0.3001401436084275,-4.422003437853457,2.315049565779996,9.467782795388123,0.26987788916919664,0.22483333333333333,-0.2248333333333333,0.0004392311919267161,0.6629445785930768,False,False,False,False,False,0,False,keep
20241106-297-LMU-20,LMU,45,1,797240.7275372376,5.901590021544888,248,0.9841269841269841,0.015873015873015928,0.9913526526857643,-9.340015566349846,4.2574756324030485,-1.4964975934497597,-2.5526012635277957,-0.15635845964617107,5.560602983151822,0.4595308381302862,0.22483333333333333,-0.2248333333333333,0.6733444871369042,-0.3054209163455694,False,False,False,False,False,0,False,keep
20241106-297-LMU-14,LMU,52,1,732385.5577515707,5.864740364646738,249,0.9880952380952381,0.011904761904761862,0.9913807890787277,-8.645486369380057,0.8747922483262907,-1.335500273037411,0.6338894072045813,-2.2874877398779874,3.8993086393999716,-0.0774058393457637,0.6745,-0.6745000000000125,0.6756555128630958,-0.7171603797784697,False,False,False,False,False,0,False,keep
20241106-297-LMU-25,LMU,56,1,654573.6172667944,5.815959160466796,247,0.9801587301587301,0.019841269841269882,0.9850730543736396,-9.481521787390891,0.6281077362288923,-1.487326778497374,0.8246200064764876,1.0604147968475424,4.183620368593919,-0.788197198083592,-0.22483333333333333,0.2248333333333333,0.15756006273149575,-0.6466958294919601,False,False,False,False,False,0,False,keep
20241106-297-LMU-5,LMU,58,1,689450.5420410995,5.838503747286763,246,0.9761904761904762,0.023809523809523836,0.9873647668044604,-10.904391590595434,3.551556665353275,2.554592670168021,-1.2888209955827425,1.125979730153959,3.8183050462550545,-0.4596998235858824,-0.6745,0.6745,0.3457933729340534,-0.7372365186656356,False,False,False,False,False,0,False,keep
20241106-297-LMU-3,LMU,68,1,782918.9823300004,5.893717377628397,246,0.9761904761904762,0.023809523809523836,0.9953100983566995,-9.842584600496327,2.6302431248587324,2.846685657075472,3.0186262158136263,-1.2809359745942086,3.829058565472806,0.3448184738019983,-0.6745,0.6745,0.9983953480427352,-0.7345713388018835,False,False,False,False,False,0,False,keep
20241106-297-LMU-7,LMU,69,1,820606.8158188765,5.914135649056491,250,0.9920634920634921,0.007936507936507908,0.9901959883732548,-7.940876326514429,1.2435787141791876,1.100056616947323,2.6467984376970084,-0.386073119714905,3.6583993574658695,0.6423332878668085,1.1241666666666668,-1.1241666666666792,0.578340092428077,-0.7768679558938127,False,False,False,False,False,0,False,keep
20241106-297-LMU-19,LMU,73,1,684376.1542588561,5.83529550357959,247,0.9801587301587301,0.019841269841269882,0.9664129908051178,-10.067962937108707,1.6171694144199464,1.7454647520237092,2.226999385123223,1.8546163748115423,3.825285719255077,-0.5064471710964537,-0.22483333333333333,0.2248333333333333,-1.3751128358637918,-0.735506410713219,False,False,False,False,False,0,False,keep
20241106-297-LMU-11,LMU,77,1,643157.7100587013,5.808318155502122,246,0.9761904761904762,0.023809523809523836,0.9624967638291987,-12.134673196483718,0.7462622997864997,0.45615924067484015,3.752803544008922,-4.867899010705156,6.178918733248464,-0.8995343491905751,-0.6745,0.6745,-1.696778136129136,-0.1521759503740666,False,False,False,False,False,0,False,keep
20241106-297-LMU-2,LMU,79,1,908920.7213454013,5.958526482285101,249,0.9880952380952381,0.011904761904761862,0.9948740637147512,-8.799303215573794,0.20101198994812633,1.2565221808765101,4.689311852278922,-4.6423207810318585,6.291313480670869,1.2891525125353438,0.6745,-0.6745000000000125,0.9625809749507681,-0.1243197470646247,False,False,False,False,False,0,False,keep
20241106-297-LMU-1,LMU,82,1,811739.8311191712,5.909417391826111,246,0.9761904761904762,0.023809523809523836,0.9960528562950193,-9.075518911530112,-0.715616666006829,1.0429680990317864,4.077541597856138,-1.807164435286302,4.778779688250143,0.573583519917543,-0.6745,0.6745,1.0594029088208061,-0.4991900128051209,False,False,False,False,False,0,False,keep
20241106-297-LMU-13,LMU,84,1,1005170.2878224781,6.002240074709285,249,0.9880952380952381,0.011904761904761862,0.9614217122426345,-7.250964930635052,-2.5912041541461015,0.2664402870570095,6.566210503253213,-5.88445547919798,9.561030870580794,1.9261036554362618,0.6745,-0.6745000000000125,-1.7850791446047096,0.6860554214069231,False,False,False,False,False,0,False,keep
20241106-297-LMU-22,LMU,87,1,637874.279138511,5.804735771390515,248,0.9841269841269841,0.015873015873015928,0.977655132075878,-9.357807811591123,1.3240071686289845,3.8839203563822258,3.2022070755378325,1.0156985663969686,4.4345560838973,-0.9517332998523353,0.22483333333333333,-0.2248333333333333,-0.45172234554732865,-0.5845032763398029,False,False,False,False,False,0,False,keep
20241106-297-LMU-4,LMU,89,1,639898.5183062506,5.806111783247672,248,0.9841269841269841,0.015873015873015928,0.9906464686079806,-10.708127066232779,0.660899930915046,1.9346461835049202,4.369212008028641,-0.9945881038611032,4.639052753169458,-0.9316834188780997,0.22483333333333333,-0.2248333333333333,0.6153409764058609,-0.5338202958092255,False,False,False,False,False,0,False,keep
20241106-297-LMU-15,LMU,92,1,830495.4703598503,5.919337791024021,248,0.9841269841269841,0.015873015873015928,0.9831494365742416,-9.357672844505641,-0.505643888870337,1.6939291404528936,4.9496917738373885,-0.48522525111075704,5.36431246539065,0.7181337446125654,0.22483333333333333,-0.2248333333333333,-0.00043923119193583506,-0.35407006317732637,False,False,False,False,False,0,False,keep
20241106-297-LMU-16,LMU,94,1,843317.4334815406,5.925991593356655,245,0.9722222222222222,0.02777777777777779,0.950335485434867,-7.6042462687922665,-8.927085223325628,4.596858204087015,5.028436763014207,-5.191437639347756,12.300579697257533,0.8150863574127757,-1.1241666666666668,1.1241666666666665,-2.695663361724385,1.3650322494365017,False,False,False,False,False,0,False,keep
20241106-297-LMU-18,LMU,96,1,657632.7857344358,5.8179841168512105,244,0.9682539682539683,0.031746031746031744,0.9681995095754371,-12.939978719723438,1.6864384958110292,5.935946576291282,4.094607429316608,2.210214490392396,7.347278568655755,-0.7586915406473032,-1.5738333333333332,1.5738333333333332,-1.2283743806572798,0.13739335655605195,False,False,False,False,False,0,False,keep
20241106-297-Dunn-18,Dunn,85,1,811277.1299702696,5.909169768642402,250,0.9920634920634921,0.007936507936507908,0.9716584283937287,3.577244322299552,-9.657711596506863,-4.905965311428553,6.060437449699794,-0.7071960667013492,8.472960765392601,-0.011673867580075463,0.0,0.0,-3.454259277745057,0.3114862779842336,False,False,False,True,False,1,False,minor_review
