feature,detection_rate__all,detection_rate__B,detection_rate__SS,detection_rate__dQC,detection_rate__QC,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,detection_rate__biological,detection_rate__qc_like,detection_rate__blank,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-166,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1336.829587591733,1336.9071768270933,1336.758166890643,0.0395924658268704,1551.163342823527,1568.0353767641172,1553.9326980453293,1548.4241335389538,1538.6801701207305,1.3142761731910406
FT-167,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1265.77527779671,1265.8486863418618,1265.707657435392,0.0369358244064868,1499.0848223250168,1514.3265804167722,1501.8588201157356,1496.4021384769785,1481.4138917000043,1.312509119610498
FT-168,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1336.3262451050714,1336.405389862383,1336.2566589899025,0.0391003658010661,1551.2877356272045,1571.0304137199175,1553.9989897891342,1548.747391469725,1537.806266046342,1.2870543607151437
FT-169,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1335.3236370967948,1335.4007747123198,1335.2512011728293,0.0394608635400237,1551.257112257207,1571.1934994113076,1553.9358403162698,1548.4957449461135,1537.5793297060084,1.3274352834805834
FT-170,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1335.8228921318928,1335.9020610217854,1335.7547405936011,0.0383352462187882,1551.4213307481,1575.553642272948,1553.910653186191,1548.7607078924857,1537.0798873901392,1.2195413220166411
FT-171,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1262.7926388390904,1262.8650537775038,1262.7251615197877,0.0354453082579663,1499.0089198979422,1518.4259655164649,1501.8736659668195,1496.264148959211,1479.0215741033132,1.3682078056744542
FT-177,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1372.9222666552944,1373.0044393277417,1372.8475550406097,0.0419239569538517,1005.5678939773716,1014.2933441162128,1009.3238316986228,1001.3395867388192,999.7053329467792,2.0632318308477204
FT-189,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,931.123020951668,931.1758625779664,931.0750071035604,0.0263774599815897,1117.150900959169,1132.9164165454893,1119.9402594800786,1114.513782416522,1107.106961260784,1.384524676638368
FT-202,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1033.9870057402484,1034.0472286109705,1033.928817254043,0.0317203756271548,1386.1519996372765,1394.7988818241977,1389.2728290402838,1383.1683020518017,1377.1626443129362,1.4789205614544831
FT-204,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1033.9838278235356,1034.042914112964,1033.928607670589,0.0297239387994302,1455.7532616121457,1468.3237969120837,1457.4093418500188,1453.3497847415665,1443.3293499524104,0.98773463920309
FT-218,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,945.1499525476456,945.200369387312,945.0988671251616,0.0260107210777758,1013.699714864276,1026.8376972364338,1016.5529087025468,1010.9159672784848,999.9756356944216,1.416637105738516
FT-225,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1077.7143327045933,1077.774000301872,1077.655267159494,0.0311261598865204,1186.9637374633428,1193.886183441663,1190.5084643354585,1183.6865880769894,1179.1995339315472,1.6444793093376109
FT-231,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1617.0940780665944,1617.1847382877168,1616.99771246037,0.0467831616732671,1121.0916356070506,1137.366105013117,1123.9482234616291,1118.300088291527,1106.5071899946356,1.4566489118648474
FT-235,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1034.9871234609543,1035.0479195722205,1034.9301733190198,0.0307738226139136,1385.9991044260155,1394.4329527557886,1388.520781427043,1383.2604731417296,1376.6256570034318,1.282938054828365
FT-247,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1210.8237284316058,1210.891724017278,1210.7669821389634,0.0351758775228439,886.0371926968076,894.1140489578265,889.3313556931638,883.5432505380602,881.398349761962,1.3360069536514618
FT-014,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,843.583190546885,843.630050243499,843.5406553510771,0.0244139600441625,963.0868614775412,982.5703484671496,965.7982037305084,960.5184649981504,948.7611850277426,1.2901121418075123
FT-015,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1685.172273985871,1685.2705514689096,1685.0893153104369,0.0491659417086484,962.883033571473,978.8590223892908,965.5223748060172,960.160472210801,950.0644366637516,1.3022834918697654
FT-016,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,870.5947196667247,870.6445532838661,870.5511700239324,0.0252234482417843,967.2980513141862,982.65905206854,969.9481957866528,964.4931277655786,954.9833971803866,1.317019050732212
FT-017,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1684.17080155624,1684.264407634248,1684.0859451448723,0.0479215646611591,963.0445524548423,982.7533423382316,965.7307566193588,960.5088259175976,948.8170107551284,1.2959592001488849
FT-019,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1683.166364634833,1683.26232662497,1683.0821093374764,0.0492099928764424,963.0453163090324,983.7856538834136,965.6248348152288,960.3374353114888,949.269331655193,1.3454293142813007
FT-022,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1454.994982263801,1455.078441648726,1454.920198358498,0.0427925433009234,1013.8599853437128,1031.0396689111074,1016.4947372485714,1011.0331473889784,999.7792065798594,1.343328762546636
FT-024,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,944.6434806058312,944.698424554808,944.5961664284048,0.0273795383944055,1013.805438811442,1033.3746827166992,1016.416349113882,1011.063984934316,999.63219974352,1.2871316138365452
FT-026,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,727.9951742528884,728.0375875622003,727.9575827820195,0.0214790515447573,1014.168080213055,1032.1152803172229,1016.9923818887036,1011.3062294193828,999.9946789119542,1.3691867366597237
FT-030,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,943.6407760815548,943.6939445363817,943.5907638447396,0.0278931269507372,1013.782160621757,1034.6732477987937,1016.3046768281488,1011.0867446353868,997.308114574802,1.3509453587603917
FT-031,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,923.62339275087,923.6774627241764,923.5744842259206,0.02721365046968,1057.5964004037503,1064.684185028079,1059.8854968782284,1054.9518501192424,1041.547487894696,1.2154796227379434
FT-032,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,923.6242483918668,923.6775548079564,923.5784299297836,0.0272164472860657,1071.5163479969956,1096.3162617107012,1074.3064281661898,1068.7524562678664,1064.6716237330195,1.3373505220465651
