feature,blank_mean_intensity,blank_median_intensity,blank_detection_rate,qc_mean_intensity,qc_median_intensity,qc_detection_rate,bio_mean_intensity,bio_median_intensity,bio_detection_rate,blank_to_qc_ratio,blank_to_bio_ratio,log10_blank_to_qc_ratio,log10_blank_to_bio_ratio,blank_dominant_flag,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-183,0.0,0.0,0.0,385.2066526096163,210.18554279356553,1.0,353.37140989233023,202.3613877398448,1.0,0.0025892873497723396,0.002821898076664348,-2.5868197504551897,-2.549458676457516,False,1026.1928910886666,1026.2538693229394,1026.1336043527974,0.02995941888026,1107.040419851715,1118.291006590189,1109.7816043702717,1104.4961403666218,1102.9698040610858,1.4824875618511024
FT-173,0.0,0.0,0.0,2140.430821994222,162.12132564850796,0.75,358.1886492325548,171.80191772666947,0.7848101265822784,0.00046697749454672707,0.0027840523416778557,-3.330704049261915,-2.5553226040154335,False,887.6456265913164,887.6784669270911,887.6006141771315,0.0231159416785256,639.9073997418709,651.9194210900256,643.8938394306622,635.7707743457954,634.3369441562289,1.9090119072460423
FT-246,0.0,0.0,0.0,191.2102077544888,126.02337654334326,0.75,373.5563898452129,445.97770768552834,0.810126582278481,0.005202637319227633,0.0026698249639079833,-2.283776448128199,-2.5735172104334474,False,886.640677379445,886.6885162538287,886.5933552782225,0.0251461497954597,640.7806068187616,655.6501274724213,645.2189602083051,636.1348053340776,634.6614019332407,1.8430872720483809
FT-060,0.0,0.0,0.0,369.74450695465333,372.1891495953058,1.0,395.06835046133403,383.81686696516255,1.0,0.002697275296710768,0.0025248167363921305,-2.569074725130074,-2.5977701396293167,False,1251.815294797806,1251.8928041654049,1251.7555207167077,0.038755507110193,1252.0156980757831,1259.4881563062756,1254.194200130937,1249.5033644892535,1243.0116841700158,1.2070818965472034
FT-138,0.0,0.0,0.0,497.61428997063217,475.0855686812488,1.0,437.8305063504011,414.91086428056,1.0,0.0020055582443473468,0.0022787841445132155,-2.6977647209516706,-2.642296810969954,False,1039.997339280622,1040.058723239445,1039.940846349422,0.0305292028672184,1455.4289604217147,1467.5490430196126,1457.5928674741217,1453.1463043270896,1443.0368334452346,1.139480376270928
FT-180,0.0,0.0,0.0,403.61540056181417,396.4374537078483,1.0,447.43670023863285,493.2595138817864,0.9493670886075949,0.002471482792329422,0.0022299691338105382,-2.607042408963024,-2.6517011482112713,False,1846.2712907601397,1846.3774994429132,1846.1786216070363,0.0533862657772983,1057.5333992700469,1063.1384947133608,1060.249283829451,1054.8385991324435,1047.2597561326115,1.3137241358138774
FT-068,0.0,0.0,0.0,472.5409406108604,470.6551358141892,1.0,452.4955594955079,439.7405588970017,1.0,0.0021117498282408604,0.002205093256287784,-2.675357532468651,-2.656573038924142,False,1150.2524730526775,1150.3175604084613,1150.188700028146,0.0330723340888498,1279.7884240559065,1291.1614973466476,1282.297445204404,1277.0675088026385,1271.432436429538,1.252126286661389
FT-065,0.0,0.0,0.0,472.67474828403033,461.8459911124288,1.0,456.7684436834198,440.398042804379,1.0,0.0021111532831814975,0.0021845105616139257,-2.6754802330006666,-2.660645851233854,False,1149.7477835102598,1149.8144632764945,1149.685681984192,0.0325078453702678,1279.935188473766,1290.790366661261,1282.5930344589017,1277.339259704826,1271.8166430403594,1.2261011409371214
FT-042,0.6769438017851375,0.0,0.16666666666666666,733.8785213958358,784.170408489272,1.0,787.5239041224207,754.4284572893099,1.0,0.002281933344030702,0.0021266873369571136,-2.6416970456068674,-2.672296354862393,False,1025.1886386302892,1025.247027968808,1025.1370733359656,0.0298006748993319,1107.3546178711229,1123.5890952400546,1110.207654223817,1104.6921888972022,1102.8541050786582,1.4123877129358002
FT-195,0.0,0.0,0.0,445.76683325359517,484.16087456088036,1.0,477.7671082063903,478.8256972559878,1.0,0.0022383040225199013,0.002088698205994788,-2.6500809248070567,-2.680124306280862,False,1077.708774786632,1077.7732844734803,1077.6548450786415,0.0305915600535078,1164.8240522057135,1175.084413340395,1166.9203041317107,1162.488701920126,1152.544404150735,1.1655651972698904
FT-038,0.0,0.0,0.0,423.7966793550052,435.16411920251005,1.0,498.8520106409816,452.650499056905,1.0,0.0023540673658710353,0.0020005921326947495,-2.6281811131971553,-2.6988414433854233,False,1025.690862799387,1025.7477618544551,1025.6366460844254,0.030538553488754,1107.23462155222,1121.1202767189984,1109.9813621005935,1104.387069581245,1102.96307424481,1.4209852699776997
FT-028,0.0,0.0,0.0,421.65824465694675,507.09111720009685,1.0,530.7346126327803,574.7173849085195,0.9746835443037974,0.00236597774358254,0.0018806374011439556,-2.6259893450355407,-2.7256949311175687,False,1845.2675702568588,1845.3714278358416,1845.1623419189225,0.0547059411325117,1057.465322843472,1063.011718921446,1060.0061878004767,1054.8746688276972,1047.5546058911905,1.2638959113625776
