feature,n_qc_samples,qc_detection_rate,qc_mean_intensity,qc_median_intensity,qc_std_intensity,qc_cv_pct,qc_mean_intensity_batch1,qc_cv_pct_batch1,qc_order_spearman_rho,qc_order_spearman_abs,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-060,16,1.0,369.74450695465333,372.1891495953058,84.54824602493366,22.866667234978813,369.74450695465333,22.866667234978813,0.45,0.45,1251.815294797806,1251.8928041654049,1251.7555207167077,0.038755507110193,1252.0156980757831,1259.4881563062756,1254.194200130937,1249.5033644892535,1243.0116841700158,1.2070818965472034
FT-016,16,1.0,1490.9994550537526,1388.537227412529,341.27701394971484,22.889144110211046,1490.9994550537526,22.889144110211046,0.17352941176470588,0.17352941176470588,870.5947196667247,870.6445532838661,870.5511700239324,0.0252234482417843,967.2980513141862,982.65905206854,969.9481957866528,964.4931277655786,954.9833971803866,1.317019050732212
FT-053,16,1.0,1524.2772033612134,1454.2422273497984,349.1974050704895,22.909048583844687,1524.2772033612134,22.909048583844687,0.35000000000000003,0.35000000000000003,1097.723992703951,1097.786081052441,1097.6690565594126,0.0319027810183028,1176.67239430599,1190.5241737784906,1178.8370264710347,1174.3201926093266,1163.6889744852956,1.0738120033017726
FT-049,16,1.0,1522.3020678960027,1464.250245738855,350.72389629850824,23.039047485710192,1522.3020678960027,23.039047485710192,0.4264705882352941,0.4264705882352941,1097.2225774589213,1097.2878628497194,1097.1653132091003,0.0314364831833364,1176.9292956095635,1192.3969943706786,1179.3552542462571,1174.287214808062,1163.250109913586,1.1924514707526237
FT-063,16,1.0,1224.2201682630816,1333.7013404327217,282.9797481441207,23.115102616354637,1224.2201682630816,23.115102616354637,0.5323529411764706,0.5323529411764706,1149.7527620467906,1149.8187882192658,1149.690158497745,0.032753424332895,1199.627733531914,1211.340092005355,1201.7405156059112,1197.2342172171689,1184.739180146977,1.1315627824245194
FT-152,16,1.0,1974.5319659039872,1935.6362861666357,456.46889353347854,23.117827485993438,1974.5319659039872,23.117827485993438,-0.4558823529411765,0.4558823529411765,1088.69277311038,1088.7531592942134,1088.6355161607228,0.0305833539223234,1455.33623852908,1466.4624174348594,1456.9608822617963,1452.985883470457,1444.6656153752283,1.0657414549985278
FT-092,16,1.0,5846.052689965294,6009.490172719747,1352.192509105912,23.13000892768107,5846.052689965294,23.13000892768107,0.411764705882353,0.411764705882353,1251.3142498680247,1251.3872814292572,1251.2506210064705,0.0361206867456643,1273.8054275719012,1292.538921522056,1275.9376310450957,1271.4144752449388,1260.8067512512189,1.150720330226371
FT-080,16,1.0,20513.122644763193,21592.433998120156,4764.111509621742,23.224701534351595,20513.122644763193,23.224701534351595,0.5088235294117647,0.5088235294117647,1077.2019763854523,1077.2646319544158,1077.148303148349,0.0310974533514366,1212.614388815364,1250.3539242951745,1214.840334866664,1209.9427795653692,1195.7557470902184,1.2170096262148369
FT-218,16,1.0,1088.0531608444526,1079.9203284905093,253.39293608933494,23.288654011415517,1088.0531608444526,23.288654011415517,0.36470588235294116,0.36470588235294116,945.1499525476456,945.200369387312,945.0988671251616,0.0260107210777758,1013.699714864276,1026.8376972364338,1016.5529087025468,1010.9159672784848,999.9756356944216,1.416637105738516
FT-176,16,1.0,1196.8338491415998,1215.858379767445,278.8295736789009,23.297266690684314,1196.8338491415998,23.297266690684314,0.2058823529411765,0.2058823529411765,871.0972026876352,871.1464497877009,871.0521433276865,0.0261144448367921,967.075674195556,981.0014984824444,969.5888018377036,964.5575877934904,954.5241061123936,1.1831890005084889
FT-077,16,1.0,12873.880216558819,13142.324590777574,3010.6332216737524,23.385592929483487,12873.880216558819,23.385592929483487,0.5323529411764706,0.5323529411764706,1077.705946239623,1077.768563445372,1077.6520562041094,0.0312999075267044,1212.451251396288,1244.5920870381033,1214.768238466988,1209.9249993158323,1196.2741310365736,1.2097870013554028
FT-024,16,1.0,2409.190144825427,2466.292316756343,567.0371683564814,23.536422377220443,2409.190144825427,23.536422377220443,0.36176470588235293,0.36176470588235293,944.6434806058312,944.698424554808,944.5961664284048,0.0273795383944055,1013.805438811442,1033.3746827166992,1016.416349113882,1011.063984934316,999.63219974352,1.2871316138365452
FT-027,16,1.0,4362.503124337215,4459.6867527734885,1028.4661299234535,23.57513795659931,4362.503124337215,23.57513795659931,0.3294117647058824,0.3294117647058824,944.1420067072388,944.1949828507568,944.0933831173212,0.0274536438076089,1013.8565207197244,1035.1988995593508,1016.3542223052108,1011.098491583856,998.5545121068548,1.2940592342849382
FT-196,16,1.0,1255.000236263474,1278.9502982003937,296.8955591796343,23.657012214084094,1255.000236263474,23.657012214084094,0.4941176470588235,0.4941176470588235,1079.2166019688184,1079.2799026126334,1079.1624727504054,0.0309298310255249,1212.162690219896,1228.1000091217345,1214.808575306565,1209.5278179587426,1198.610527541609,1.2535770652518865
FT-056,16,1.0,2542.5988142845426,2560.6073098329716,601.5276707101254,23.657985968163377,2542.5988142845426,23.657985968163377,0.5117647058823529,0.5117647058823529,1178.2689676482953,1178.3381296315554,1178.209676243099,0.0346187918603327,1244.9133772041282,1263.400026280825,1247.491725418386,1242.276386378739,1231.3467261131775,1.2773380949643511
FT-242,16,1.0,89.71860351470247,91.53139993725489,21.232744458266342,23.66593284612022,89.71860351470247,23.66593284612022,0.3411764705882353,0.3411764705882353,1083.0169631809986,1083.0848216619854,1082.950362254375,0.0368602131796223,1422.690822712629,1429.628389935163,1425.145367036958,1420.289303760063,1413.690671698993,1.3914501278972984
FT-113,16,1.0,6569.4645484130915,6630.195410822312,1556.216634926062,23.68863738372679,6569.4645484130915,23.68863738372679,0.3735294117647059,0.3735294117647059,1295.8340568472142,1295.9104778358453,1295.768224225936,0.0366780214193528,1325.935889442976,1348.2670237223315,1327.797072671238,1323.3191753625963,1304.2779909769702,1.190702173843557
FT-068,16,1.0,472.5409406108604,470.6551358141892,112.01091019097872,23.703958866755677,472.5409406108604,23.703958866755677,0.3294117647058824,0.3294117647058824,1150.2524730526775,1150.3175604084613,1150.188700028146,0.0330723340888498,1279.7884240559065,1291.1614973466476,1282.297445204404,1277.0675088026385,1271.432436429538,1.252126286661389
FT-133,16,1.0,1439.6278977590514,1418.983695520321,343.4522261592624,23.857013794598302,1439.6278977590514,23.857013794598302,-0.5235294117647059,0.5235294117647059,1088.3554957275571,1088.4199453175788,1088.2934665530554,0.0305335130841398,1455.6188085752144,1466.7822506003197,1457.4629416105597,1453.362926730289,1444.7626845477362,1.0102804559737495
FT-220,16,1.0,941.3825138744115,931.7284202312292,224.5905014691876,23.857517869632947,941.3825138744115,23.857517869632947,0.2647058823529412,0.2647058823529412,1098.2292261588002,1098.2904734059596,1098.173907533108,0.0325171901432204,1176.4712324222012,1189.1500946783274,1178.6797381441168,1173.8919929822691,1163.494515572824,1.1867773561182018
FT-207,16,1.0,901.5359142400708,965.3509534049983,215.19447913819684,23.86976222900561,901.5359142400708,23.86976222900561,0.6705882352941177,0.6705882352941177,1034.6551417461487,1034.7125304192216,1034.5975891814644,0.0303605748289172,1455.50905041845,1469.479553565551,1457.2048275403458,1453.303311263696,1442.954649764501,1.045363518081707
FT-229,16,1.0,945.172832112783,985.3214200331797,225.75454369441664,23.88500134835429,945.172832112783,23.88500134835429,0.4088235294117647,0.4088235294117647,975.1420796493152,975.19513630601,975.0878433330068,0.0290253234446013,1174.724661855747,1190.7307771536025,1177.058293531887,1172.2284839034685,1160.82065582275,1.228760315355733
FT-217,16,1.0,115.9467520052329,110.55919589885201,27.753841974091632,23.936713615607836,115.9467520052329,23.936713615607836,-0.18529411764705883,0.18529411764705883,1089.0287993120237,1089.0950065180127,1088.970820326633,0.030458456101534,1473.4388815633502,1483.5051296283675,1476.2821695524506,1470.872925663907,1466.9955052957894,1.2981758393010991
FT-222,16,1.0,1325.6717036063073,1352.8382492745054,318.3789673623403,24.016426276297075,1325.6717036063073,24.016426276297075,0.55,0.55,1087.6997012829654,1087.7619304064426,1087.6443678719036,0.03103060333828,1212.1840644998792,1229.1766516010414,1214.6552307545503,1209.398301752987,1197.634043318504,1.289501447076295
FT-062,16,1.0,2801.9509681243844,2921.808102702428,673.5373751279617,24.038157083770283,2801.9509681243844,24.038157083770283,0.5411764705882353,0.5411764705882353,1078.713769906068,1078.77689772975,1078.6606048411224,0.0306502872948344,1212.1759527027516,1230.5396418417658,1214.4559206074891,1209.787676317876,1197.3987579345717,1.2388468855173635
FT-127,16,1.0,1045.6410951475164,1029.7482594951757,252.3865144253498,24.137011790813723,1045.6410951475164,24.137011790813723,-0.4705882352941176,0.4705882352941176,1089.3621822179891,1089.4251348726043,1089.307522369366,0.0309853004019954,1455.0379438086263,1466.2902433975903,1456.7362453819535,1452.8117716271825,1443.8567584493844,1.0701762813663769
