task_name,feature_space,model_name,feature,n_selected,mean_coef,mean_abs_coef,positive_coef_fraction,n_folds,selection_frequency,sign_consistency
French_vs_Dunn,representative,logreg_l1,FT-076,3,0.0,0.0,0.0,50,0.06,1.0
French_vs_Dunn,representative,logreg_l1,FT-096,3,0.0,0.0,0.0,50,0.06,1.0
French_vs_Dunn,representative,logreg_l1,FT-028,1,0.0,0.0,0.0,50,0.02,1.0
French_vs_Dunn,representative,logreg_l1,FT-066,1,0.0,0.0,0.0,50,0.02,1.0
French_vs_LMU,high,linear_svm,FT-046,50,0.1250203711537353,0.1250203711537353,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-133,50,-0.12455706908213796,0.12455706908213796,0.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-050,50,0.12423711393868989,0.12423711393868989,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-043,50,0.12258095939996175,0.12258095939996175,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-172,50,0.0985626660238577,0.0985626660238577,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-245,50,-0.09392674115370926,0.09392674115370926,0.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-115,50,-0.08235629954298,0.08235629954298,0.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-076,50,0.08125485295262333,0.08125485295262333,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-238,50,-0.0724320953609415,0.0724320953609415,0.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-060,50,-0.06946830103274661,0.06946830103274661,0.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-102,50,0.0677626500172909,0.0677626500172909,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-178,50,0.06362620772243521,0.06362620772243521,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-200,50,0.059721396396892515,0.059721396396892515,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-095,50,-0.05894379938788291,0.05894379938788291,0.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-174,50,0.05875825291226608,0.05875825291226608,1.0,50,1.0,1.0
French_vs_LMU,high,linear_svm,FT-202,46,0.026993310788633727,0.026993310788633727,1.0,50,0.92,1.0
French_vs_LMU,high,linear_svm,FT-101,42,-0.015369194056378538,0.01621984960962331,0.14285714285714285,50,0.84,0.7142857142857143
French_vs_LMU,high,linear_svm,FT-206,41,0.03005228381020656,0.03005228381020656,1.0,50,0.82,1.0
French_vs_LMU,high,linear_svm,FT-078,31,0.029208978387666437,0.029208978387666437,1.0,50,0.62,1.0
French_vs_LMU,high,linear_svm,FT-105,24,-0.02855371631273776,0.02855371631273776,0.0,50,0.48,1.0
French_vs_LMU,high,linear_svm,FT-233,18,-0.033186967511141814,0.033186967511141814,0.0,50,0.36,1.0
French_vs_LMU,high,linear_svm,FT-145,10,-0.0659081470172381,0.0659081470172381,0.0,50,0.2,1.0
French_vs_LMU,high,linear_svm,FT-217,10,-0.06093883930093915,0.06093883930093915,0.0,50,0.2,1.0
French_vs_LMU,high,linear_svm,FT-110,10,-0.04271718646650917,0.04271718646650917,0.0,50,0.2,1.0
French_vs_LMU,high,linear_svm,FT-072,8,-0.045603101222196504,0.045603101222196504,0.0,50,0.16,1.0
French_vs_LMU,high,linear_svm,FT-040,5,-0.04357979323162475,0.04357979323162475,0.0,50,0.1,1.0
French_vs_LMU,high,linear_svm,FT-089,2,-0.011856928042968833,0.015461774704535306,0.5,50,0.04,0.0
French_vs_LMU,high,linear_svm,FT-156,1,0.06225828386121285,0.06225828386121285,1.0,50,0.02,1.0
French_vs_LMU,high,linear_svm,FT-015,1,-0.05960290290597207,0.05960290290597207,0.0,50,0.02,1.0
French_vs_LMU,high,linear_svm,FT-038,1,-0.012031277474895264,0.012031277474895264,0.0,50,0.02,1.0
French_vs_LMU,high,logreg_l1,FT-050,50,1.7258712944589818,1.7258712944589818,1.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-046,50,0.9554334072709633,0.9554334072709633,1.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-043,50,0.9239592720777412,0.9239592720777412,1.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-115,50,-0.13914699760721916,0.13914699760721916,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-172,50,0.013461856939948549,0.013461856939948549,0.28,50,1.0,0.43999999999999995
French_vs_LMU,high,logreg_l1,FT-133,50,-0.004839585390992955,0.004839585390992955,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-238,50,-0.003351299859379563,0.003351299859379563,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-060,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-076,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-095,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-102,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-174,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-178,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-200,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-245,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_LMU,high,logreg_l1,FT-202,46,0.0,0.0,0.0,50,0.92,1.0
French_vs_LMU,high,logreg_l1,FT-101,42,0.0,0.0,0.0,50,0.84,1.0
French_vs_LMU,high,logreg_l1,FT-206,41,0.0,0.0,0.0,50,0.82,1.0
French_vs_LMU,high,logreg_l1,FT-078,31,0.0,0.0,0.0,50,0.62,1.0
French_vs_LMU,high,logreg_l1,FT-105,24,0.0,0.0,0.0,50,0.48,1.0
French_vs_LMU,high,logreg_l1,FT-233,18,0.0,0.0,0.0,50,0.36,1.0
French_vs_LMU,high,logreg_l1,FT-110,10,-0.00890369143404709,0.00890369143404709,0.0,50,0.2,1.0
French_vs_LMU,high,logreg_l1,FT-145,10,0.0,0.0,0.0,50,0.2,1.0
French_vs_LMU,high,logreg_l1,FT-217,10,0.0,0.0,0.0,50,0.2,1.0
French_vs_LMU,high,logreg_l1,FT-072,8,0.0,0.0,0.0,50,0.16,1.0
French_vs_LMU,high,logreg_l1,FT-040,5,0.0,0.0,0.0,50,0.1,1.0
French_vs_LMU,high,logreg_l1,FT-089,2,0.0,0.0,0.0,50,0.04,1.0
French_vs_LMU,high,logreg_l1,FT-015,1,0.0,0.0,0.0,50,0.02,1.0
French_vs_LMU,high,logreg_l1,FT-038,1,0.0,0.0,0.0,50,0.02,1.0
French_vs_LMU,high,logreg_l1,FT-156,1,0.0,0.0,0.0,50,0.02,1.0
